nazev_stanice,trvani_vypujcky,pocet_pujceni,zemepisna_sirka,zemepisna_delka,pocet_vraceni,trvani_vypujcky_min
Logie Green Road,3683077,1727,55.96403450946105,-3.195673725279903,2222,61384.62
Hawes Pier,5277608,1643,55.99052952143077,-3.385596660576908,1911,87960.13
Gamekeeper's Road,5225920,1581,55.96953169937321,-3.307305425252252,1583,87098.67
Queen Margaret University,4807521,1469,55.93193490858167,-3.073045771766146,1452,80125.35
Newkirkgate,3229984,1437,55.97070402016615,-3.1716239961015162,2331,53833.07
Orchard Brae House,2893518,1436,55.95508276879095,-3.223634263956455,1390,48225.3
Edinburgh Royal Infirmary,3867050,1417,55.92063236018849,-3.140540732733598,1697,64450.83
Dean Street,2923586,1327,55.957278012740645,-3.214285387389054,1519,48726.43
Murrayfield,2855712,1293,55.94476686576929,-3.243687888944919,1259,47595.2
Craigleith Road,2477562,1249,55.95661859471628,-3.237802968201094,1516,41292.7
Murrayfield Tram,3046331,1217,55.9419563895648,-3.237802024128314,1324,50772.18
Milton Road - Edinburgh College,3944047,1214,55.944051353414075,-3.098567246199309,1526,65734.12
Edinburgh Zoo,2997079,1144,55.942221825711776,-3.268697484588187,1066,49951.32
Leith Walk North,2376078,1142,55.96791807044289,-3.17358629706473,1537,39601.3
Belford Road,2019997,1116,55.95197357717703,-3.226124804664096,1030,33666.62
Hopetoun Road,3313944,1058,55.99018214620787,-3.404603924278717,1086,55232.4
Heriot Watt - Edinburgh Business School,2923622,979,55.90880966452917,-3.320141905887681,1008,48727.03
Edinburgh Park Station,2481944,869,55.927382676939004,-3.307442444578868,966,41365.73
Musselburgh Lidl,2226061,709,55.94388031687606,-3.066753916217862,838,37101.02
The Loan,2070042,577,55.98989968232655,-3.397772901929727,766,34500.7
