,index,duration,start_station_id,start_station_latitude,start_station_longitude,end_station_id,end_station_latitude,end_station_longitude
count,438259.0,438259.0,438259.0,438259.0,438259.0,438259.0,438259.0,438259.0
mean,9043.264172555499,1948.8380386940144,924.2454370589081,55.95063737180636,-3.196594363678466,969.3452958182262,55.95254094077105,-3.1953746936005607
std,7439.18082816395,5657.134780300884,670.1643482155713,0.013559435813416764,0.039446896533841716,676.7625993866191,0.01586769937014108,0.04208404643454778
min,0.0,61.0,171.0,55.908403986062076,-3.407156205559118,171.0,53.39552546462075,-3.407156205559118
25%,3252.0,624.0,260.0,55.940237631689435,-3.207963567424258,262.0,55.94179129688128,-3.208070182227743
50%,7127.0,1163.0,1019.0,55.94760044619224,-3.192443756949956,1024.0,55.951500737349754,-3.191861874639585
75%,12467.0,2529.0,1728.0,55.95940686974708,-3.180985762469163,1737.0,55.96253727246136,-3.176351263805259
max,31397.0,2363348.0,2268.0,55.992957267668345,-3.058306836702485,2268.0,55.992957267668345,-2.9901380418724552
